FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202101","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","-97.92","48.06","-62.38","-208.36","9704.06","0.67","0.70","1.49","1.49","11.90","26.22","3.82","4.77","4.60","0.84","0.92","74.90","2476.54","3071.71","1647.37","512267592","3/28/2021 12:00:00 AM"
"101","הראל אג""ח עד 25% מניות ","תגמולים ואישית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202102","4/1/1979 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","4.25","42.78","-72.88","-111.41","9639.16","0.67","0.70","0.49","1.99","13.45","27.27","4.30","4.94","4.59","1.08","0.95","74.60","2471.17","3077.79","1594.40","512267592","3/28/2021 12:00:00 AM"
"103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","202101","1/1/1970 12:00:00 AM","כלל האוכלוסיה","מדרגות","50-60","8.29","20.68","-11.58","-23.97","6960.42","0.58","0.67","0.89","0.89","16.04","32.63","5.08","5.81","6.24","1.32","0.88","76.10","2967.58","3269.19","1590.16","512065202","3/28/2021 12:00:00 AM"
"103","מיטב דש גמל לבני  50-60","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","202102","1/1/1970 12:00:00 AM","כלל האוכלוסיה","מדרגות","50-60","14.89","15.91","19.74","18.72","7045.45","0.58","0.67","1","1.90","18.38","34.60","5.79","6.12","6.23","1.68","0.93","76.30","3052.35","3080.43","1628.17","512065202","3/28/2021 12:00:00 AM"
"107","הלמן-אלדובי גמל אג""ח עד 25% במניות","תגמולים ואישית לפיצויים","הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ","202101","1/1/1970 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","0.39","2.6","-15.93","-18.14","865.18","0.57","0","0.88","0.88","10.23","23.85","3.30","4.37","4.20","0.84","0.89","87.10","211.42","216.64","157.89","512227265","3/28/2021 12:00:00 AM"
"107","הלמן-אלדובי גמל אג""ח עד 25% במניות","תגמולים ואישית לפיצויים","הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ","202102","1/1/1970 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","0.85","3.24","-19.34","-21.73","842.02","0.57","0","-0.14","0.74","11.21","23.88","3.61","4.38","4.20","0.96","0.87","86.90","208.55","215.05","161.06","512227265","3/28/2021 12:00:00 AM"
"117","כלל תמר אג""ח ","תגמולים ואישית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202101","11/14/1994 12:00:00 AM","כלל האוכלוסיה","אג""ח","אג""ח","0.64","1.97","-10.62","-11.95","787.07","0.53","0.03","0.48","0.48","8.23","13.85","2.67","2.63","3.02","-0.96","0.77","85","0.12","144.56","92.19","512244146","3/28/2021 12:00:00 AM"
"117","כלל תמר אג""ח ","תגמולים ואישית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202102","11/14/1994 12:00:00 AM","כלל האוכלוסיה","אג""ח","אג""ח","3.24","2.94","-8.89","-8.59","774.41","0.53","0.03","-0.48","0","8.36","12.94","2.71","2.46","3.04","-0.84","0.70","84.70","0.20","147.41","89.54","512244146","3/28/2021 12:00:00 AM"
"118","אנליסט קופה מרכזית לפיצויים מסלול כללי","מרכזית לפיצויים","אנליסט שירותי ניהול השקעות","אנליסט קופות גמל בע""מ","202101","11/8/1994 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","-0.87","0.13","0.87","-0.13","269.33","0.34","","0.69","0.69","16.94","36.15","5.35","6.37","6.60","1.20","0.87","91.90","121.56","84.60","61.44","511880460","3/28/2021 12:00:00 AM"
"118","אנליסט קופה מרכזית לפיצויים מסלול כללי","מרכזית לפיצויים","אנליסט שירותי ניהול השקעות","אנליסט קופות גמל בע""מ","202102","11/8/1994 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0","0.03","0","-0.03","269.97","0.34","","0.27","0.96","19.04","37.14","5.98","6.52","6.58","1.44","0.88","91.70","123.30","85.29","62.69","511880460","3/28/2021 12:00:00 AM"
"119","מנורה מבטחים יותר מסלול ד'","תגמולים ואישית לפיצויים","מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ","202101","6/28/1972 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","1.24","17.47","9.14","-7.09","993.39","0.62","0.46","0.87","0.87","10.38","23","3.35","4.23","5.35","-0.24","0.70","83.50","248.59","323.79","161.56","512245812","3/28/2021 12:00:00 AM"
"119","מנורה מבטחים יותר מסלול ד'","תגמולים ואישית לפיצויים","מנורה מבטחים החזקות בע""מ","מנורה מבטחים פנסיה וגמל בע""מ","202102","6/28/1972 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","2.03","17.75","16.07","0.35","995.28","0.62","0.46","0.21","1.08","11.42","23.49","3.67","4.31","5.35","0","0.71","83.50","250.75","335.55","154.86","512245812","3/28/2021 12:00:00 AM"
"120","מיטב דש ביטחון מבטיח תשואה 4.5%","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","202101","3/1/1973 12:00:00 AM","כלל האוכלוסיה","מבטיח תשואה","מבטיח תשואה","0","0.06","-0.44","-0.5","75.76","0.45","","","","","","","","","","","97.10","0","0.55","0.67","512065202","3/28/2021 12:00:00 AM"
"120","מיטב דש ביטחון מבטיח תשואה 4.5%","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","202102","3/1/1973 12:00:00 AM","כלל האוכלוסיה","מבטיח תשואה","מבטיח תשואה","0","0.05","0","-0.05","75.90","0.45","","","","","","","","","","","97.10","0","0.56","0.68","512065202","3/28/2021 12:00:00 AM"
"124","כלל תמר מדד","תגמולים ואישית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202101","10/11/1994 12:00:00 AM","כלל האוכלוסיה","מדד","מדד","0.27","3.69","-7.97","-11.39","756.37","0.52","0.23","0.64","0.64","7.27","13.14","2.37","2.50","3.30","-0.72","0.66","86.70","0.28","52.10","34.09","512244146","3/28/2021 12:00:00 AM"
"124","כלל תמר מדד","תגמולים ואישית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202102","10/11/1994 12:00:00 AM","כלל האוכלוסיה","מדד","מדד","0.17","2.37","-7.77","-9.97","744.04","0.52","0.23","-0.27","0.37","7.97","12.11","2.59","2.31","3.30","-0.60","0.61","86.40","0.46","52.18","34.13","512244146","3/28/2021 12:00:00 AM"
"127","כלל תמר מניות","תגמולים ואישית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202101","10/11/1994 12:00:00 AM","כלל האוכלוסיה","מניות","מניות ","0.39","0.94","-2.87","-3.42","387.77","0.52","0.02","2.12","2.12","25.21","62.34","7.78","10.18","14.14","2.04","0.76","86.90","391.88","245.32","87.81","512244146","3/28/2021 12:00:00 AM"
"127","כלל תמר מניות","תגמולים ואישית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202102","10/11/1994 12:00:00 AM","כלל האוכלוסיה","מניות","מניות ","3.64","0.64","0.12","3.12","400.43","0.52","0.02","2.50","4.67","32.79","70.51","9.91","11.26","14.08","3.12","0.82","86.80","401.24","234.16","88.57","512244146","3/28/2021 12:00:00 AM"
"128","כלל תמר שקלי טווח קצר","תגמולים ואישית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202101","10/11/1994 12:00:00 AM","כלל האוכלוסיה","שיקלי","שקלי טווח קצר","0.13","1.58","-8.93","-10.38","188.33","0.45","0","0.05","0.05","0.87","1.19","0.29","0.24","0.11","-0.12","0.38","98.50","0","0","0","512244146","3/28/2021 12:00:00 AM"
